title,body,url,side_score,failure_score,noise_score,final_score,reason
용봉동 나들가게파머스마켓에서 남자 아르바이트생을 구합니다.,"21/11/08 13:08
안녕하세요! 용봉동 나들가게파머스마켓에서 남자 아르바이트생을 구합니다.
1. 업무는 매장 물건 채우기, 청소, 계산입니다.
2. 임금은 최저임금 8720원입니다.
3. 주말(토, 일)에 일하고, 18~22 4시간씩 일주일에 총 8시간 일합니다.
일이 정말 쉽고, 매장이 작아서 일이 많지 않습니다.
물건 채우고 청소를 하고 나면, 편하게 앉아 있다가 손님이 올 때만 일어나서 계산하면 됩니다. 근무 시간도 적어서 대학 생활과 병행하거나 투잡으로 하기 좋습니다.
010-5158-1814로 많은 지원 부탁드립니다~~~",https://everytime.kr/375208/v/217427374,3,5,0,8,부업+실패 표현 충분
전대생 에띵구미 스티커 출시✨,"22/04/06 13:29
안녕하세요! 에브리띵이즈오케이입니다😊
이번에 전대생 구미 일상 스티커와 단대 스티커,
단대 리무버블 스티커 10종이 출시되었습니다 !
이번 리무버블 스티커에서 제외된 5종은
추후 출시될 예정입니다💦
에띵오 매장과 스마트스토어(업로드 예정)에서 구매 가능하세요🌸
굿즈로 출시되길 바라는 제품이 있다면 댓글로 말씀해주세요. 감사합니다😙
단대 리무버블 스티커 1,500원
전대생 에띵구미 일상 스티커 3,000원
단대 에띵구미 스티커 3,000원",https://everytime.kr/375182/v/244468847,3,5,0,8,부업+실패 표현 충분
,"(알수없음)
20/04/06 00:34
안녕하세요 스물 일곱살 아재입니다. 원래 에타도 잘 안하고 학교 다닐때나 시간표 보는 용도로 썼었는데, 요새 생각이 너무 많아서 글이나 끄적이다가 자려구요 :)
제 나이쯤 되면 다들 똑같겠지만.. 스물 일곱 취준생이라는게 생각보다 많이 힘드네요. 지금 시국이 코로나 시국이라 더 그런 것 같기도 해요.
먼저 나이 이야기를 하고 싶은데 학교에선 많고, 회사에서는 적은 나이에요. 마음만은 스물셋 정도 되는 것 같은데, 더 이상 학생 때의 모습을 바라기엔 욕심이 너무 큰 것 같아요. 그런데 우리 동년배들.. 그렇게 생각하는 것 보다 아저씨아니고, 어른도 아니에요. 스무살이나 스물일곱이나 다 똑같으니까 학교에서 지나가다가 나이 많은 사람 있어도 무서워 할 필요 없어요. 오히려 우리가 거기 있어서 더 미안하고 무서워요😅 오빠 소리도 아직 좋아하구요.
그리고 취준생이라 돈 쓸일은 많이 없지만.. 그래도 공부하려면 돈이 필요하더라구요? 없으면 쪼들리는대로 불안하고, 나를 위해 쓰는 돈이 없으니 점점 초라해져요. 그런데 알바를 하자니 시간도 시간이지만 나이가 너무 많은 것 같고, 집에서 용돈 받아서 쓰긴 눈치보여요. 저희 집이 그렇게 잘 사는건 아니라서요😉 집안 사정도 복잡하고.. 가족들 다 떨어져서 저 혼자 사는데 이렇게 5년이 넘다보니 매일매일 월급날 계산해서 돈 쓰는것도 머리가 아파요🙃
마지막은 코로나인데.. 저는 운 좋게 코로나가 심하게 터지기 전 모 회사에서 인턴생활을 시작해서 하고 있지만 그래도 지금껏 준비 해 오던 자격증 시험들이 다 밀리고 밀려서 시간이 붕 떠버렸어요. 계획세워서 공부하고 끝내는게 좋은데, 의미없는 매일을 살고 있는 것 같아요. 출근해도 일이 없으니 책이나 읽고, 나가서 놀자니 불안하고, 여자친구도 헤어진지 좀 되서 남들 다 하는 연애도 못하네요ㅎㅎ.. 졸업하고 회사 다니니 새로운 인연도 없고~ 학교에선 아저씨, 회사에선 능력없는 학생이라서 맘에 드는 사람이 있어도 이도저도 못하겠어요. 그래서 다 포기했지만..ㅋㅋㅋ 아! 물론 돈도 없어요👌
쓰다보니 글이 길어졌네요. 혹시나 여기까지 읽어주셨다면 너무 감사드리고 부끄럽습니다. 저는 내일 출근해야해서 이만 자려고 노력 해 볼게요. 걱정이 많으면 잠이 잘 안오지만.. 재택근무를 안해주니 일찍 자려고 노력해야죠😅 그럼 모두 안녕, 우리 동년배들 힘내요!
(삭제)
삭제된 댓글입니다.
(알수없음)
고마워요 댓쓴씨😉
20/04/06 00:36",https://everytime.kr/386037/v/114318262,3,5,2,6,부업+실패 표현 충분
대면강의 2주전에 공지를 해달라!,"20/05/01 20:01
이미 기숙사 들어갔거나, 광주에 사는 학생이면 공감이 안 될테니 뒤로 가기를 눌러주세요!
광주에서 멀리 떨어진 곳에 사는 타지생이다. 우리 학교는 4월17일에 공식적으로 1학기 말까지 재택수업을 시행한다는 공지를 발표했다. 코로나 사태가 진정될 시, 대면수업 전환 1주전에 공지한다는 말과 함께 말이다. 뭐 우리나라가 중국도 아니고 학교로 가는데 몇 일씩 걸리는 것도 아니기에, 그 때는 그냥 그러려니 했다. 근데 생활관(편의상 뒤에 쓸때는 그냥 기숙사라 하겠다.) 공지를 보고 조금 화가 났다. 왜 화가 났는지 단계 별로 알아보겠다.
먼저 4월 27일 이후 입주하는 기숙사생들이 밟아야 할 절차에 대해 알아보자
1. 입주하고 싶은 주 금요일의(원칙상 매주 금요일에 입주 아래 사진 참고) 전주 금요일까지 입주 신청을 한다.
2. 신청을 한 주의 그 다음주 월요일에 선발 및 화요일에 동호실 신청
3. 선발된 주 금요일에 입주.
여기서 의문점이 생길 수 있다.
""아니 1주전에 공지하는데 신청•입주까지도 1주일 걸리는데 왜 발광이지?""
물론 요일을 배제하고 생각하면 날짜상 걸리는 시간은 7일이 맞다. 그런데 생각해보자. 대학 시간표는 월요일부터 시작한다. 그러면 대면강의 시작하기 1주일 전에 공지한단 소리는, 대면강의 1주전 월요일에 공지한단 소리다. 그런데 기숙사는 희망 입주일(금요일) 1주전에 신청해서 그 다음주 금요일에 들어간다. 그래서 참 타지에서 기숙사 재신청해서 들어가는 사람들에게 멍멍이 같다는 거다. 뭔 소리냐면, 대면강의 1주전 월요일에 공지가 올라왔다고 해보자. 그럼 기숙사 신청을 해야겠지? 신청하면 공지 올라온 주에 선발되는 게 아니라 그 다음주에 선발되서 대면강의로 전환된 주 금요일에 들어가게 되는거다. 그래서 주로 따지면 사실상 2주가 걸린다. (1주:신청하는 주, 2주:동호실 신청•입주하는 주)
그래서 결론적으로 내가 왜 빡쳤는지 정리해서 알아보자.
1. 우리 학교는 대면강의 1주전에 공지한다.
2. 4월 27일 이후 기숙사에 들어가는 학생들은 기숙사 재신청•입주까지 사실상 2주가 소요된다.
(왜 사실 상 2주인지는 위에 설명)
3. 즉 기숙사를 꼭 들어가야 하는 타지생들은 대면강의 전환 후 4일간(대면강의 전환된 주 월화수목) 알아서 잘 곳 구해서 다니고 들어가든가, 공지 전에 반강제로 알아서 들어가야함.
4.???? 이게 학교냐?
그럼 또 여기서 이렇게 따질 수 있다.
""아니 그럼 기숙사 미리 신청해서 들어가면 되지 지능 딸림?""
물론 먼저 신청해서 들어갈 수 있다. 실제로 먼저 들어간 사람도 있고. 그런데 상식적으로 학교에서 대면수업으로 전환한다고 공지하면 적어도 대면수업 시작할 때까지는 기숙사에 들어갈 수 있도록 해줘야 하는거 아닌가? 어째서 학생들이 학교 눈치를 보면서 기숙사 신청을 해야하는가. 2주전에 공지하는개 그렇게 어려운 일인가? 그냥 다른 학교들 눈치보는 것 밖에로는 안보인다. 심지어 1학기는 기숙사에서 식사 제공도 안한다. 학교에서 학생들의 선택할 권리를 충분히 보장할 수 있음에도 하지 않는 것에 나는 화가난다.
꼭 기숙사 문제가 아니더라도 과제가 많은 과들이 많은데, 타지생들은 1주일 안에 강의 다듣고, 과제 다하고 짐 다싸고 기차표나 비행기표 예약을 해야된단 말인가?
전남대학교의 대면수업 전환 2주전 공지를 요구한다.
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375208/v/119006332,3,5,1,7,부업+실패 표현 충분
,"(알수없음)
21/09/15 21:11
초등학생이랑 중학생저학년이라서 진짜 쉬워요 갑자기 서울올라가서 공부하는바람에 꿀알바 넘깁니다 ㅠㅠ
월수 6시~9시입니다
1. 업체명 : C.S교육원
2. 업무 내용 : C.S교육원 홈페이지에서 화상창 띄우셔서 수업 하시는거에요 .
3. 근무 시간 : 월수 오후 6시~7시10분 초중등 영어 7시 20분~8시 50분 고등영어 (시간 조정가능)
4. 자격 : 대학생.휴학생.졸업생 (만21세 이상 수업경력자 우대)
5. 임금 : 초 중등 영어 시급10.000원~ (단계별 시급 인상) 고등영어 시급 12000~
화상수업 하는방법 배우신후 저희 학원에서 수업하기 아니면 집에서 재택으로 수업하기 선택.
편하고 재미있게 학원이나 집에서 수업하실 선생님 구해요.
장기알바 하시기엔 굉장히 편하고 안정적인 꿀알바입니다.
수업 경험 있으시다면 화상수업 경험없어도 많이 지원해주세요.
-참고사항 : 가능하면 최소6개월이상 근무하실분 우선채용합니다.
이력서 (지원분야기재) 또는 본인 간단한프로필 이멜접수후 문자주세요.
담 당 자 : 010-9943-9184 프로필 (24시 문자접수)
E-mail : mbccampus@naver.com (이력서 이멜접수후 문자)
교 육 원 : 광주광역시 북구 서암대로 170 용봉빌딩3층",https://everytime.kr/424589/v/209443938,3,5,1,7,부업+실패 표현 충분
재택알바 시급 9000원,"21/05/01 15:46
집에서 걍 앉아서 컴퓨터로 쿠팡에다가
제품 올리는건데
일주일에 8만원 번다~",https://everytime.kr/375208/v/187268580,3,5,0,8,부업+실패 표현 충분
주디마리 빼빼로데이 이벤트/ 문익점 푸딩 전국배송 시작합니다‼️,"21/11/09 21:47
🤎주디마리X빼빼로데이 이벤트🤎
트위터에서 매우 핫한 🔥 바로 그 곳!
품절대란에 웨이팅까지 있는 자타공인 푸딩 맛집 '주디마리'에서 특별한 이벤트를 준비했습니다! 💖💖
1️⃣ 빼빼로데이 이벤트
⠀
∙ 주문제작 접수 기간 : 11/7(일) 20:00 ~ 11/10일(수) 22:00
∙ 수령 기간 : 11/10(수) ~ 11/12(금)
∙ 수령 장소 : 주디마리 매장 (광주 북구 우치로 86, 지하 1층)
∙ 예약방법 : 주디마리 카카오톡 플러스친구 이용
___
🐻💝🐻 곰돌이 커플 세트
구성 : 곰돌이 밀크티 2개 + 문익점 푸딩 1개 + 하트 브라우니 1개 + 곰돌이 쿠키 4개 + 상자 포장
가격 : 22,600원 ➡️ 20,000원
⠀
🐻 곰돌이 솔로 세트
구성 : 곰돌이 밀크티 1개 + 문익점 푸딩 1개 + 하트 브라우니 1개 + 곰돌이 쿠키 1개 + 상자 포장
가격 : 13,900원 ➡️ 12,000원
⠀
🐻🍪 11/11 하트베어 쿠키
가격 : 3,500원 [매장에 상시 구비 예정]
___
⠀
🍪🔡이니셜 빼빼로 쿠키(2pc) : 8,000원
∙ 빼빼로 쿠키 위에 곰돌이와 알파벳 이니셜 쿠키를 얹어드려용!
∙ 주문 시 이니셜을 함께 말씀해 주세요. (3글자 x 2)
___
⠀
🍪🔡 이니셜 빼빼로 쿠키(2pc) + 📝히든메세지 빼빼로 쿠키 세트(2pc) : 14,000원 (총 4pc)
[히든 메세지 빼빼로 쿠키는 이니셜 빼빼로 쿠키 밑에 들어가는 숨겨진 쿠키 메세지 입니다!]
∙ 1pc당 최대 12자, 총 24자 가능합니다. (Only English)
∙ 히든메세지 빼빼로 쿠키는 이니셜 빼빼로 쿠키에 포함한 세트 상품으로만 구성됩니다.
⠀
➕옵션
상자 포장 : 1,000원⠀
∙ 상자 포장을 주문 시, 흰색 상자와 이쁜 리본으로 마무리됩니다.
주문 시, 꼭 주디마리 카카오톡 플러스친구를 이용해주세요!! 🤎
___
2️⃣ 문익점 푸딩 전국 배송 이벤트
‼ 11월 12일 금요일 밤 10시 ‼스마트스토어 오픈!!!
게다가 이번 스마트 스토어 오픈 때에는 기존 푸딩과 함께 문익점 푸딩 2탄, 초코푸딩도 함께 판매합니다!!!🍫
⠀⠀
∙ 오픈 기간
11월 12일(금) 22:00 ~ 11월 15일(월)
∙ 배송 시작
11월 16일(화)
열심히 준비했으니 많이 찾아와주시고, 많이 주문해주세요! 🤍🤍🤍",https://everytime.kr/375182/v/217631152,5,9,0,14,부업+실패 표현 충분
비전공 개발자준비생입니다,"24/06/17 13:05
현재 나이 29살에 부트캠프를하고있는데요
플젝이 한달뒤에나 끝날거같아요..
현재플젝에대한 이해도가 너무떨어지고 팀원들도 못하는데 문제점이뭐냐면 저희수준에비해 팀플요구사항이 넘빡세구요 저역시도 플젝만받고 바로 공기업전산직이나 대기업전산직 혹은 기술영업쪽으로 가고싶어서
그래서 그냥 팀플대충 하고 결과물만 받을까 생각중에 있습니다..
대충란걸로 공기업 대기업에서 플젝경험어필할려구요
플젝 기술스택은
springboot cloud jpa querydsl security oauth maven
redis rabbitmq
cicd sonarcube githubaction docker
elasticsearch
db mysql
막 이런거 잡다한거 다섞은 플젝이고 구매자사이드(판매자는안함)쇼핑몰구현하는건데
일단 문제가 기술에대한 이해도가 좀많이떨어지거든요? 그래서 매주마다 공부하고 기술블로그에 적고 이런 노력들은 하고있어요
깃프로젝트에서 스크럼마스터정해서 매일스크럼 회의 하고있고요
솔직히 재밌긴해요 근데 미래가 너무불안하고 팀원들도 못하고 저도못해서 이걸할수있나 이런생각이들어요 ㅠㅠ 다른팀은 나름잘하는사람 한두명씩꼽았는데 저희팀은 현대쇼프티어 간다고 잘하는사람 나갔고
또 한명도 더나갈꺼같아서 문제에요 ㅠㅠ
아무튼 플젝은 무조건할건데 퀄구린 플젝은 대충하는게 맞겠죠..?
본론으로 ..
개발자를 정말하고싶은데 제가 지금실력에서 개발쪽으로 갈려면 최소 1년은 더공부해야되는데 그러면 취준까지하면 31-32살에 취업할꺼같거든요?
그럴바엔 빨리 기술영업직이나 기획, 전산직같은 비개발로빠져야 할거같아서요 ㅠㅠ
현재 플젝하면서 오픽, 토익, 한국사 준비하고있구요
정처기랑 sqld있고 알고리즘은 아주 기본적인책 하나 봤구요 ㅠㅠ
진짜답이없는상황이긴한데
저는 내년에는 무조건취업을해야해서
이제 결정을 해야할거같아요..
제가 개발을 포기하는게 맞겠죠…?
참고로 부캠에서는 요구사항대로만 플젝하면 포폴은 괜찮다고 해요.. 부캠도 나름 중견회사 이름걸고 하는 부캠이긴해요..
(삭제)
삭제된 댓글입니다.",https://everytime.kr/386037/v/346417486,7,7,2,12,부업+실패 표현 충분
전라도 = 민주당?,"25/01/28 16:13
자신들이랑 생각이 다르면 신천지로 몰아가는 애들이 너무 많아서 못박고 시작하겠음. 내가 불자생활만 10년이 넘고 그런 사람같지도 않은 사이비교주 밑의 광신도 취급받는게 기분나빠서 참다참다 적는다.
자꾸 논리없이 신천지신천지거리는데 정작 세뇌된 광신도 집단은 극렬한 전라도 민주당 지지자들이 아닌가 싶더라. 나도 전교조 선생들 밑에서 좌파식 교육을 받았고 집안에도 정치색이 짙은데 지지하는 이유가 뭔지 들어보면 '전라도는 당연히 민주당이지' 이런식이더라 친구도 실제로 한말임 ㅇㅇ
난 어느 지역에서 특정 정당을 무지성으로 지지하는것에 대한 큰 회의를 가지고 있음. 그건 TK도 마찬가지고. 정치인들이 잡아놓은 물고기마냥 무조건 표 주는 짓은 가장 미련하고 우매한 짓임.
정치인들이 가장 두려워하는게 '중도'다. 언제든 표심이 바뀔 수 있는 투표권자와 지역. 자신들을 언제든지 끌어내릴수 있는 투표의 힘.
그런데 과연 전라도와 광주는 민주당 텃밭으로 얼마나 대단한 발전을 했냐에 대해서는 의심을 한번쯤 가져봐야함. 스타필드며 더현대며 신문물이 들어온다고 할때마다 상권 망한다며 거품물고 반대하는 민주당과 시민단체들 그럼 복합쇼핑몰 몇개씩 있는 다른 대도시들은 이미 망하고 없어졌게? 아니, 문화수준이며 경제수준이며 발전하고 잘살고 있다. 광주가 왜 '진보'성향의 정치로 왜 '퇴보'하고 있는지 생각해볼 필요가 있다.
난 보수성향이지만 국익이 우선시되고 자유민주주의 테두리안에서의 진보, 노무현 정신같은 진보는 참 좋아하고 존경하는데 과연 지금의 민주당은 그게 아니라 진보로 위장한 친중종북 세력들에 장악당했다고 밖에 안보인다.
12.3 비상계엄 자체를 옹호하는것은 아니지만 윤대통령이 말했던 것처럼 반국가세력을 척결하기 위함과 부정선거를 조사하기 위한 유일한 방법이였다고 한다면 국가 비상사태때 군을 동원할 수 있는 대통령의 권한인 계엄령의 정당성이 충분히 부여된다고 생각한다.
왜 탄핵찬성 시위에는 중국어 깃발들과 온갖 노동조합 연맹 등의 깃발이 나부끼는가, 북한지령을 받아 간첩행위를 한 민노총 간부들이 윤석열 대통령의 퇴진을 요구하는가. 교내에도 윤정권 퇴진, 미군철수 외치는 단체있던데 판단은 여러분들의 몫입니다. 누가 진정 국정을 혼란스럽게 하고, 국민이 선출한 대통령을 당선과 동시에 탄핵 노래를 부르며 줄탄핵으로 행정부의 기능을 마비시키는가, 탄핵으로 이득을 보는 내란 세력은 어디인가 객관적 판단이 필요하다. 신천지거리는 애들이 사실은 누구보다 세뇌되어있는것은 아닐까?
투표에 있어서만큼은 조금의 의혹도 있어서는 안되는데 선관위는 왜 논란 투성이인가. 반박이 하고싶다면 한번쯤 부정선거 의혹에 관한 영상들을 찾아보고 오는걸 추천. 그 어느 단체보다 투명하고 공개적이여야하는 선거관리위원회에 부정채용은 웬말이며 해명이라고 내놓는 영상들 보면 형상기억종이, 가짜뉴스무새고 서버공개, 감사는 절대 못받는게 말이나 되나. 부정선거야 말로 5.18 민주화 운동을 폄훼하고 퇴색시키는 것이며 앞서 말한 투표의 힘을 얻기위해서 군사정권에 맞서 5.18 '민주화'운동으로 우리의 손으로 직접 지도자를 뽑는 민주주의를 훼손시키는 일 아니겠는가.
현 대한민국의 주소는 '자유'민주주의 테두리 안의 좌파와 우파, 진보와 보수의 대립이 아닙니다. 진보로 위장한 친중종북 세력들과의 싸움입니다. 보이지않는 이념의 제2의 6.25전쟁이고, 본인들과 생각이 다르면 집단으로 린치하는 우덜식 '인민'민주주의 전체주의로 본인들의 생각과 이념을 자유롭게 말하고 표현할 수 있는 '자유' 민주주의가 아닙니다.
국가가 위기일때 전남대학교의 선배들이 미래에 어떤 국가를 꿈꾸고 어떤 민주주의를 위해 투쟁하였는지 전남대 학우들께서 깊게 고민하고 생각해볼 시점이 아닌가하여 두서없이 개탄스러운 마음과 함께 작성합니다. 긴글 읽어주셔서 대단히 감사합니다.
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375208/v/366873140,3,7,0,10,부업+실패 표현 충분
🍁가을 스커트🍁 쇼핑몰 리뷰 확인 가능!,"23/09/29 22:50
✔️ 모든 상품은 지그재그, 에이블리에서 실측과 리뷰 확인 가능합니다
✔️네고 가능, 동시 구매 시 할인
✔️ 구매 후 한 번도 입지 않은 상품들입니다
1. 컬러위드클로젯 블랙 롱스커트, S (15000원)
판매가 32800원, 리뷰 2707개
2. 가내스라 아이보리 롱스커트, S (15000원)
판매가 38000원, 리뷰 62개
* 현재 판매중지 상품으로 원하시면 리뷰 캡쳐해드리겠습니다
실측",https://everytime.kr/377489/v/317810177,4,5,0,9,부업+실패 표현 충분
