title,body,url
개강 한 달차… 사람+취미 둘 다 챙길 타이밍,"📖 새학기 목표 =
“책도 읽고, 사람도 만나기”
그거 [똑똑]에서 다 가능합니다 👀
✔️ 책은 읽고 싶은데 혼자선 잘 안 읽힌다면?
✔️ 읽고도 말할 사람이 없어서 아쉬웠다면?
✔️ 의미 있는 활동 + 친목 둘 다 하고 싶다면?
👉 똑똑으로 오세요 ✨
📖 우리는 이런 모임이에요
주 1회 정기 독서모임 (수요일 19시)
전대 근처에서 진행
가볍게 친해지는 아이스브레이킹
한 달 1권 함께 읽고 이야기 나누기
부담 없는 자유로운 토론
그리고… 빠질 수 없는 뒤풀이 🍻
🤗 똑똑의 장점
💭 부담 없이 편한 분위기
“처음 와도 금방 친해져요”
“조용한 사람도 자연스럽게 말하게 되는 분위기”
💭 독서를 더 재밌게 만드는 활동
책갈피 / 키링 만들기 🎨
책 속 음식 직접 만들어보기 🍳
책 기반 영화 감상 🎬
💭 밖에서도 만나요
북크닉 🌿
북카페 & 독립서점 투어 ☕️
도서 교환
💭 친목도 확실하게
마라탕 번개 🍜
요리 번개
그냥 놀자 번개까지 😆
✔️ 이런 분들 환영해요
책 읽는 습관 만들고 싶은 분
다양한 활동도 같이 즐기고 싶은 분
편하게 사람들과 친해지고 싶은 분
👉 혼자 와도 괜찮아요 (대부분 혼자 옴)
📍 매주 수요일 19시 / 전대 근처
이번 학기,
그냥 지나가기 아쉬우면
똑똑에서 같이 시작해요
📚 신청
https://forms.gle/aZ4uKhguJV2Hz5Y28
📚 문의
https://open.kakao.com/o/sdD1coei
📚 인스타
https://www.instagram.com/gj_dd_book",https://everytime.kr/375208/v/406728721
에타 티켓,새내기인데 에타 티켓 얻을 수 있는 방법 없나요? 그리고 보유 티켓은 어디서 확인하나요?,https://everytime.kr/375208/v/406728613
도로롱 콜라보 많이 하더니 돈좀 벌었나봐,집을 샀다네,https://everytime.kr/375208/v/406728008
순대국 맛집 추천 좀,기숙사생임 순대국밥 추천 좀,https://everytime.kr/375208/v/406727873
중간고사 너무 힘들어서 유튜버 데뷔함,https://youtube.com/shorts/eUMI0PlThWs?si=CSv4zcr3qLMw5Yd4,https://everytime.kr/375208/v/406727602
간호학개론 ㅇㅁㅈ,교수님 족보 구합니다 ㅠㅠ !,https://everytime.kr/375208/v/406727585
술을좋아하는 어부가 두명있으면?,더불어민주당,https://everytime.kr/375208/v/406727301
6수 하면,"수능 6수하면
정시로 의치한약수 중에 갈 수 있지는 않음?
근데 다들 공부하는게 힘드니까 안하는거임?",https://everytime.kr/375208/v/406727217
근장 보통 한 주에,"몇 시간 채우시나요? 전 12시간정도 하는데 많은건가요?
주에 이정도 근장하면 3주만에 35시간 채워버리는데 괜찮은건가요..?",https://everytime.kr/375208/v/406726436
고양이 키우는 사람들아 조언 좀,"걍 나는 만지고만 싶지
바지에 털 묻는 거 싫어서
애가 다리에 좀 안비볐으면 좋겠는데
이거 어떻게 교육 방법 없음?",https://everytime.kr/375208/v/406725932
