keyword,board_name,title,body,url,ad_score,side_score,failure_score,noise_score,final_score,reason
다단계 부업,광주캠 자유게시판,신천지도 조심해야하지만 다단계도 조심하세요!,"23/10/27 15:55
찾아보니까 상무지구에서 꽤 활발하게 활동하더라구여. 최근에 친해진 친구가 부업 하나 해볼래 해서 따라갔더니 다단계였던..
코스모스지 다단계 회사입니다 조심하세요!",https://everytime.kr/375208/v/320619846,0,3,0,0,3,부업 관련이지만 실패 여부 애매
다단계 부업,광주캠 자유게시판,그애.txt,"19/02/10 04:06
우리는 개천쪽으로 문이 난 납작한 집들이 게딱지처럼 따닥따닥 붙어있는 동네에서 자랐다. 그 동네에선 누구나 그렇듯 그애와 나도 가난했다. 물론 다른 점도 있었다. 내 아버지는 번번히 월급이 밀리는 시원찮은 회사의 영업사원이었다. 그애의 아버지는 한쪽 안구에 개눈을 박아넣고 지하철에서 구걸을 했다. 내 어머니는 방 한가운데 산처럼 쌓아놓은 개구리인형에 눈을 밖았다. 그애의 어머니는 청계천 골목에서 커피도 팔고 박카스도 팔고 이따금 곱창집 뒷방에서 몸도 팔았다. 우리집은 네 가족이 방두 개짜리 전세금에 쩔쩔맸고, 그애는 화장실 옆에 천막을 치고 아궁이를 걸어 간이부엌을 만든 하코방에서 살았다. 나는 어린이날 탕수육을 못 먹고 짜장면만 먹는다고 울었고, 그애는 엄마가 외박하는 밤이면 아버지의 허리띠를 피해서 맨발로 포도를 다다다닥 달렸다. 말하자면 그렇다. 우리집은 가난했고, 그애는 불행했다.
가난한 동네는 국민학교도 작았다. 우리는 4학년때 처음 한 반이 되었다. 우연히 그애 집을 지나가다가 길가로 훤히 드러나는 아궁이에다 라면을 끓이는 그애를 보았다. 그애가 입은 늘어난 러닝셔츠엔 김치국물이 묻어있었고 얼굴엔 김치국물 같은 핏자국이 말라붙어있었다. 눈싸움인지 서로를 노려보다가 내가 먼저 말했다. 니네부엌 뽑기만들기에 최고다. 나는 집에서 국자와 설탕을 훔쳐왔고, 국자바닥을 까맣게 태우면서 우리는 친구가 되었다.
사정이 좀 풀려서 우리집은 서울 반대편으로 이사를 했다. 아버지는 친척이 소개시켜준 회사에 나갔다. 월급은 밀리지 않았고 어머니는 부업을 그만두었다. 나는 가끔 그애에게 편지를 썼다. 크리스마스에는 일년동안 쓴 딱딱한 커버의 일기장을 그애에게 보내기도 했다. 그애는 얇은 공책을 하나 보냈다. 일기는 몇 장 되지 않았다. 3월4일 개학했다. 선생님한테 맞았다. 6월1일 딸기를 먹었다. 9월3일 누나가 아파서 아버지가 화냈다. 11월4일 생일이다. 그애는 딸기를 먹으면 일기를 썼다. 딸기를 먹는 것이 일기를 쓸만한 일이었다. 우리는 중학생이 되었다.
그애 아버지는 그애 누나가 보는 앞에서 분신자살을 했다. 나는 그 얘기를 풍문으로 들었다. 그애는 이따금 캄캄한 밤이면 아무 연립주택이나 문 열린 옥상에 올라가 스티로플에 키우는 고추며 토마토를 따버린다고 편지를 썼다. 이제 담배를 배웠다고 했다. 나는 새로 들어간 미술부며 롯데리아에서 처음 한 미팅 따위에 대해 썼다. 한번 보자, 만날 얘기했지만 한번도 서로 전화는 하지 않았다. 어느날 그애의 편지가 그쳤고, 나는 담배를 피기 시작했다.
고3 생일에 전화가 왔다. 우리는 피맛골에서 막걸리를 마셨다. 생일선물이라며 신라면 한 박스를 어깨에 메고 온 그애는 왼쪽다리를 절뚝거렸다. 오토바이사고라고 했다. 라면은 구멍가게 앞에 쌓인 것을 그냥 들고 날랐다고 했다. 강변역 앞에서 삐끼한다고 했다. 놀러오면 서비스 기차게 해줄께. 얼큰하게 취해서 그애가 말했다. 아냐. 오지마. 우울한 일이 있으면 나는 그애가 준 신라면을 하나씩 끓여먹었다. 파도 계란도 안 넣고. 뻘겋게 취한 그애의 얼굴 같은 라면국물을.
나는 미대를 졸업했고 회사원이 되었다. 어느날 그애가 미니홈피로 찾아왔다. 공익으로 지하철에서 자살한 사람의 갈린 살점을 대야에 쓸어담으면서 2년을 보냈다고 했다. 강원도 어디의 도살장에서 소를 잡으면서 또 2년을 보냈다고 했다. 하루에 몇백마리의 소머리에 징을 내려치면서, 하루종일 탁주와 핏물에 젖어서. 어느날 은행에 갔더니 모두 날 피하더라고. 옷은 갈아입었어도 피냄새가 배인거지. 그날 밤 작업장에 앉아있는데 소머리들이 모두 내 얼굴로 보이데. 많이 마시지도 않았는데 그애는 술집테이블에 머리를 박았다. 나직하게, 나는 왜 이렇게 나쁜 패만 뒤집는 걸까.
그애가 다단계를 한다는 소문을 들었다. 만나지마. 국민학교때 친구 하나가 전화를 해주었다. 그애 연락을 받고, 나는 옥장판이나 정수기라면 하나 있어도 좋겠다고 생각했다. 취직하고 집에 내놓은 것도 없으니 이참에 생색도 내고. 그애는 아무 말도 하지 않았다. 우리는 계절이 바뀔 때면 가끔 만나서 술을 마셨다. 추운 겨울엔 오뎅탕에 정종. 마음이 따뜻해졌다.
부천의 어느 물류창고에 직장을 잡았다는 연락을 받았다. 고등학교때 정신을 놓아버린 그애의 누나는 나이차이 많이 나는 홀아비에게 재취로 갔다는 얘기를 들었다. 애가 둘인데 다 착한가봐. 손찌검도 안하는 거 같고. 월급은 적어. 그래도 월급나오면 감자탕 사줄께.
그애는 물류창고에서 트럭에 치여 죽었다. 27살이었다.
그애는 내가 처음으로 좋아한 남자였다. 한번도 말한 적 없었지만 이따금 나는 우리가 결혼을 할지도 모른다고 생각했었다. 손도 잡은 적 없지만 그애의 작고 마른 몸을 안고 매일 잠이 드는 상상도 했다. 언젠가. 난 왜 이렇게 나쁜 패만 뒤집을까. 그 말 뒤에 그애는 조용히 그러니까 난 소중한 건 아주 귀하게 여길꺼야. 나한텐 그런 게 별로 없으니까. 말했었다. 그러나 내 사랑은 계산이 빠르고 겁이 많아 아무 대답도 하지 못했다. 나는 그애가 좋았지만 그애의 불행이 두려웠다. 하지만 우리는 함께 살 수도 있었다. 가난하더라도 불행하지는 않게.",https://everytime.kr/375208/v/63238953,0,3,3,1,5,부업 관련이지만 실패 여부 애매
돈만 날림,광주캠 자유게시판,세탁소 셔츠맡겼는데 더더러워져서옴,"21/05/02 15:50
다신 안가야지 ㅎ 흰셔츠 아얘 누렇게 변해서옴ㅋㅋㅋㅋㅋㅋ 다른 셔츠들도 딱히 깨끗해진것도 아닌거같고 개짜증난다. 돈만 날림^",https://everytime.kr/375208/v/187411072,0,0,4,1,3,실패 표현은 있으나 부업성 약함
매출이 안 나,광주캠 자유게시판,대한민국에서 자영업 성공하는 기준이 있는 것 같음.,"(알수없음)
22/09/24 09:25
소비자의 니즈를 파악하는 것도 중요하지만 손님들에게 내가 어떤 이미지를 가지고 있는가, 그리고 내가 손해를 안보는 선에서 적당한 서비스나 덤을 주는가, 얼마나 정보를 투명하게 공개하는가, 요 세개가 중점이라고 생각함.
약 3년 전에, 우리 아버지가 공인중개사 하시다가 할머니가 뇌출혈, 낙상으로 인한 무릎 인대 파열, 장기간 영양실조로 인한 당뇨병으로 인해서 일을 못하시니까 가족 회의 통해서 가업 물려받기로 하셨었음.
할머니는 그때까지 50년 동안을 시장에서 낙지나 고동, 소라, 감태, 매생이 같은 물건들을 팔면서 아버지, 작은아버지, 고모 학교 보내고 대학 졸업 시키시고 혼수 장만에 나랑 내 동생, 사촌 동생들 용돈까지 챙겨주셨음. (내가 친가 집안 장손이라서 더 챙겨주시려고 하긴 하셨음.)
원래 시장에서 물건 파는 상인들은 손님들이 언제 올지 모르니까 식사도 그냥 간단하게 빵이나 김밥 같은 걸로 떼우거나 안 먹는 경우가 많음. 하지만 먹든 안먹든 손님오면 맞이하고, 1~2kg 혹은 그 이상되는 것들을 계속 들고 옮기고 포장하고 해야하니 체력 소모는 굉장히 심한 편임.
이런 점 때문에 할머니가 버티다 못해 결국 쓰러지신 거기도 했고, 아버지도 초반에 시장 장사 했을 때 일주일 만에 물건이 잘 안나는 스트레스같은 이것 저것 합쳐져서 살이 10kg이 빠지셨음.
그러다가 나 수능 공부 마치고 집에서 한창 롤에 찌들어서 하루에 15판씩 조지고 있을 때 아버지가 가족 회의 하자고 피자, 치킨 사오시고, 노트북이랑 수첩 각자 한명씩 주시더라고. (우리 집은 가족 개인 노트북이 하나씩 있었음.)
주제가 어떻게 하면 손님이 모일까? 이거 였음.
장사하면서 가장 고민되는 문제고 제일 원초적인 장사꾼들의 욕심임.
주제 말하는 동안 서로 토의 하듯이 많은 이야기가 오갔었음. 일단 나랑 동생은 어떻게 시장에 사람들이 돌아다니는지 모르니까 시장에서 사람들이 많이 다니는 시간대, 가장 많이 다니는 구역, 주변 가게들 수익은 어떻게 되는가 등 계속 질문했었음.
불행 중 다행인지 아버지 가게가 있는 쪽은 손님들이 가장 많이 돌아다니는 구역이었고, 시간 대 상관없이 사람들이 도로를 꽉 채울 정도로 있는 곳이라는 답변을 받았었음. (아버지 가게가 있는 길목 바로 옆에 주차장이 있어서 사람들이 많이 다니긴 했음. 예상하긴 했었는데 그렇게 많은 줄은 몰랐었음.)
그리고 난 뒤 주변 가게들 수익을 말하셨는데 이게 나한테는 좀 충격으로 다가왔었음.
아버지 가게 바로 옆에는 채소가게, 반찬가게가 있고 주변에는 생선집, 과일가게, 떡집, 전집, 민어회 파는 가게가 있었음. 근데 각 가게의 기본 매출이 3억이 넘어간다는 거였음. (이때까지는 반찬가게들이 그렇게 돈 많이 버는 줄은 몰랐었음.)
여튼 물건이 팔릴 만한 조건은 갖춰진 상태였고, 아버지도 할머니한테 물건 원가, 좋은 상품 고르는 기준 같은 것들을 들은 뒤에 기존에 팔던 것 보다 값을 약간 내려서 판매하셨음. (그때도 그렇고 지금도 낙지만큼은 할아버지가 배타서 직접 잡아오신 거라 상태는 항시 최상급이었음. 할머니한테 낙지 사러 온다고 강원도 같은 곳에서 전남의 한 깡촌 도시에 차 끌고 오는 사람도 있었으니까.)
그때 아버지 생각은 '좋은 물건 값싸게 팔면 손님이 올것이다.' 이렇게 생각하셨음.
애초에 공인중개사를 하셨어서 자영업 같은 부분들도 경제학적 관점에서 생각하신 것 같음. (그때 당시 대학교에서 행정, 경제 복전 하시면서 과탑 먹으신 적 있을 정도로 경제학과 법, 회계 관련 쪽은 되게 깊게 알고 계셨음.)
근데 그렇게 팔아도 물건들이 잘 안팔리고 결국 선도가 막 가버리니까 그냥 주변 상인들한테 넘겨주는데 이것 땜에 스트레스가 심하셨음.
대충 이제 그런 이야기를 듣고 나니까 생각이 드는 게 하나 있었음. 원래 물건을 팔 때 어떤 물건이 좋은 물건인지 소비자가 알고 있다는 가정하에는 아버지 방식이 통하겠지만 만약 그렇지 않다면? 그래서 아버지가 물건을 잘 못팔고 있지 않을까.. 이 생각이었음.
원래 사람들 심리가 그냥 물건이 좋은 것을 파는 사람보다 이 물건이 얼마나 좋은지를 알고 파는 사람한테 더 끌림.
내가 공부만 한 것도 아니었고, 공부 하는 중간에 알바도 병행했었음. (주말 알바로 편의점, 장어집, 무한리필 고깃집에서 일해본 경험이 있음.)
그 중에서 장어집에서 일했었는데 그때 그곳 사장님이 물건 보는 방법, 이것들을 잘 구워낼 수 있는 방법, 좋은 숯 구하는 방법 같은 걸 알려주셨음.
난 이해가 잘 안됐음. 그냥 사장님이 알고 있어도 될 것들도 그냥 알바생들한테 다 풀어버리니까.
그래서 왜 이렇게까지 알아야하냐고 하니까 사장님이 이 말을 하시는 거임.
'너가 금을 판다고 생각해보자. 이걸 팔아야 하는데 생판 모르는 초등학생한테 맡길거냐, 아니면 금은방 주인한테 맡길거냐?', 그리고 '자신의 지식을 숨기면서 속이는 사람을 만날거냐, 지식을 아낌없이 개방하면서 주변 사람들에게 정보를 나눠주는 사람을 만날것이냐?' 였음.
이때 이 질문 듣고 아차 싶었음. 손님들 입장에서는 자신들이 모르는 정보를 잘 아는 사람, 그리고 물건에 대한 정보를 투명하게 공개하는 사람한테서 사고 싶은 욕구를 가지고 있을텐데 그런 사람이 생각보다 많이 없다는 게 현실이었음.
장어집 사장님도 여러 상인한테 데여본 경험이 있어서 그러셨는지 그 부분을 엄청나게 강조하셨음. 그래서 그런지는 몰라도 그 집은 항상 손님들이 있었음.
그런 경험이 있어서 그런지 아버지한테 내 경험을 말씀드리니까 물건 좋은 거 어필하고, 물건들 관련 정보 공유하면 되냐고 물어보셨음.
그러면 될 것 같다고 하니까 혹여나 다른 가게들이 더 싸게 팔면 정보만 주고 수익은 못얻는 것 아니냐고 물어보셨음.
그러면 물건들 다른 가게보다 질 좋은 거 같은 가격 받으면 되지 않겠냐고 말씀드렸음.
그제서야 고민이 해결되셨는지 소주를 까고 편하게 주무셨음.
그때 회의 이후에 가게 매출이 달라졌었음. 뭐 어차피 물건당 실 수익은 좀 줄어든 편이라서 실제 아버지 지갑에 들어가는 돈은 줄었는데 물건 회전이 점점 빨라지니까 당일날 들어온 물건을 당일에 소진하는 경우가 많아졌음.
그렇게 소진한 경우 물건의 양을 조금씩 늘려서 파니까 그제서야 손님들이 많이 오기 시작했음.
그 뒤에 다시 회의해서 전복, 꽃게, 활대하 같은 할머니가 취급하지 않던 물건들도 팔기로 하고 한 달 동안 물건들에 대해 지식 찾아보고 물건 공급하는 사람들한테서 정보를 받으면서 공부하신 뒤에 파니까 설날 대목때 매출이 일주일 동안 3000만원선까지 올라갔었음. (원래 대목 매출이 시장 가게 매출의 10% 가량 차지함.)
지금은 평일 하루에만 150만원 가량 매출 나오시고, 이번 추석 대목에는 최대 5000만원까지 찍히셨음.
이글 세줄 요약하면
1. 자영업 생각 하는 사람이 있으면 일단 물건에 대해 공부하고 좋은 물건 고르는 지식을 알고 있어라.
2. 이걸 소비자들에게 투명하게 공개하면서 이렇게 좋은 물건 쓰고 있음을 언급해라.
3. 정보가 소비자한테 전달되면 소비자들도 그걸 쓰기 시작한다. 이때 너가 다른 가게들보다 가격이나 질적으로 매리트가 있어야 단골이 생기고 물건이 팔린다.
이거임.
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375208/v/269338425,0,3,9,9,3,부업 관련이지만 실패 여부 애매
수익이 안 나,시사·이슈,이건 어찌 생각하노?,"22/02/24 00:17
김문기씨 생전 인터뷰
: “ 하라는 대로 했는데 지금은 나 혼자 알아서 하라는게 너무 상처.. 아무도 보호해주지 않는 느낌” “초과이익환수조항 넣었다가 삭제한 것 맞아... 자발적인 결정 아니었다”
라 하셨다. 초과이익 환수조항이란 뭘까? 대장동 개발이 민관개발인건 알지? 쉽게 말하면 민간업체와 성남시 자체의 합작이라는 말인데 대장동 개발에 조항에 명시 돼있던 초과이익환수조항은 ‘민간업체의 초과이익이 평당 택지 분양가 1400만원 이상일 때 환수한다‘라는 말이야
이게 처음 대장동 사건 보도가 터졌을 때 이재명이 결재한 문서에 이 초과이익환수조항이 7시간만에 없어졌다는거야. 실무자가 시장같은 고위 관계자한테 서류를 낼 때 까진 있었는데 이재명이 결재하고 나니까 없어졌다는거지
이재명은 여기에 대해 국감에서 내가 지운게 아니라 원래부터 없었는데 직원이 건의한걸 안 받아들였을뿐이다라 했지. 근데 위에 김문기씨가 말하길 “넣었다가 삭제한거 맞아”라 인터뷰를 하신적이 있고 돌아가심 근데 이재명 반응은 모르는 사람이다. 근데 오늘 유족 기자회견에서 증거가 쏟아져 나오네
이 대장동 사건의 큰 문제가 화천대유라는 민간 업체가 돈을 ㅈㄴ빼먹었는데 화천대유 대주주가 김만배같은 정치인이라는 거잖아? 화천대유가 돈을 ㅈㄴ빼먹을수 있었던 이유가 저 ’초과이익환수조항‘이 빠졌기 때문인데 그걸 없앤게 이재명이다? 최종 결재자인데?
사이즈 나오지?
————-
김문기 소속은 '성남도시개발공사 개발사업 1처장'임 줄여서 성남도공이라 하지 이곳이 민관중에 관, 관공에 해당하는 곳인데 한마디로 정부쪽? 성남시쪽? 업체라 생각하자
이 성도공과 관련된 이야기도 뉴스에 쭉 나왔었는데
성남도공은 대장동 사업에서 원래 수익이 날 때마다 절반씩을 가져가기로 계약이 돼 있었지만, 이재명은 그렇게 계약하고 나서 18일만에 '성남도공'은 대장동 사업에서 어떠한 수익이 나도 고정이익 1822억만 가져가도록 내용을 바꿔 놓으래
생각을 해봐 지자체쪽 업체인 성남도공은 어떠한 수익이 나도 1822억만 가져 가야하는데 민간업체는 초과이익환수조항이 없으니 경우에 따라 ㅈㄴ 돈을 많이 먹을 수 있겠지? ㅇㅇ 이재명이 성남도공의 고정이익을 고정시키고 초과이익환수조항을 없애므로 화천대유가 저리 돈을 뜯어 먹은거야
그리고 이후 성남도공 황무성 사장이 사퇴하게 되는데 인터뷰에서 ""사퇴 압박의 배경에는 이재명의 지시가 있었다""라 하시지 이재명이 사장까지 사퇴압박을 하면서 성남도공측은 이 일방적인 변경사항(이익 절반->고정 수익)을 수용해
그리고 성남도공이 이런 일방적인 변경사항을 받아들이면서 마지막까지 이재명에게 부탁한게 '초과이익환수'
하지만 무시
(알수없음)",https://everytime.kr/482730/v/233117792,0,1,5,0,6,실패 표현은 있으나 부업성 약함
수익이 안 나,광주캠 자유게시판,가난한게 벼슬임 - 이라는 글에 대한 답글,"(알수없음)
19/07/12 00:54
내 친구는 부모님이라 공무원이라 장학금도 못 받는다 하면서 용돈 40받더라. 뭐 엄청 많진 않지. 근데 여행가고 싶다고 조르면 보내주고 취업하면 차 사준다고 했대. 노트북도 꽤 비싼거쓰고 핸드폰 깨지거나 하면 부모님께 돈받아서 수리 받고. 우와! 사는 집이 엄청 좋진 않아 하지만 자기 집이라더라. 2억인가 주고 샀다나..
나는 1분위야. 일주일 용돈 4만원받아. 핸드폰 요금 나가는 주는 9만원! 폰 요금 내야해서 가끔 돈도 없어. 교회를 다녀서 매주 십일조+헌금 내면 실질적으로 쓸 수 있는 돈이.. 그래서 가끔 집 걸어다녀 1시간 30분 걸리더랑! 교회는 내가 좋아서 다니니까 이걸루 탓할 생각은 없어.
알바도 틈틈이 했지. 물론 알바하면서 4.5받고 그런애들 있긴하더라. 대단해 존경해 근데 난 그렇게는 못하겠더라구. 끽해야 근장정도 겨우 하면서 성적장학금 받기 위해 악착같이 공부해야하고. 1분위인데 왜그러냐고? 어머니께서 가게하시거든. 그건 밑에서 말할게. 여하튼 근장해서 번 돈은 혹시라도 다음학기 등록금 못 낼까봐 항상 모아놔. 그러다가 장학금 받으면 가족들한테 밥 한 번 사고 동생 조금 챙겨주고.. 그 다음학기에 근장에서 짤릴수도, 있으니, 소득분위올라서 등록금을 내야할수도 있으니 다 쓰지도 못해. 데스크탑은 번개장터에서 20만원짜리 샀고 모니터+키보드+스피커+마우스해서 10만원 안짝으루 쿠팡에서 산거같아. 만족해 이정도로! 게임두 어지간한 거 다 되더라 히히.
어머니꼐선 가게를 하셔. 근데 왜 1분위냐구? 아직 대출금 다 갚지도 못했고 한 달 순수익이 100만원도 안되는 거 같아. 직접적으론 말씀안하시지만 가끔 가게일 도울 때 POS기 보면 알 것 같더라. 아침 7시반, 8시에 나가서 밤 11시, 12시, 가끔 새벽까지 일하고 들어오시는데 진짜 눈물나. 근데 그거라도 벌어야 적어도 밥은 안 굶고 사니까 어쩔 수 없이 하셔. 뭐 집에만 계시다가 일한다는 거 자체에 힘들어도 만족하시는 거 같기도 하고..
아버지께선 목사야. 나 교회다닌다고했지? 아버지 아니었으면 나 안다녔을거같아. 지금은 아버지때문에 다니는건 아니지만.. 아버지께선 서울에서 꽤 큰 교회 목사셨는데 교단 측에서 영국으로 선교를 보내셨어. 영국 물가알지? 한국에서 보내주는 돈은 미약하지, 런던 유학생들 헌금 모아봐야 얼마나 되겠어? 그걸로 교회세금내고 하니까 매달 적자! 집도 2001년 기준 월 160만원짜리 집이었어. 모아놓은 돈 다 써버리고 한국에 돌아와서 광주오니까 광주엔 연줄이 없는거야? 어쩌다 어쩌다 광주에서 꽤 큰교회로 부임하셨어. 너무 자세하면 누군지 알테니 이렇게만 쓸게. 근데 그거알아? 나쁜 의미는 절대 ㄴㄴ인데 교회에서도 정치를 잘 해야 해. 우리 아버지는 강철보다 곧은 성품을 가지셔서 교회 정치싸움의 희생양이 되어 개척교회하셔. 어떤 동기가 그러더가 목사는 헌금 다 가지는 거 아니야?
뭐.. 모르니까 그런 말 할 수 있다고 생각해. 현실은 잔혹해 친구들 ^_^ 근데 수천 명 모이는 교회(광주에 이런 교회 꽤 있어.)에 있을 때도 거기서도 월150받고 살았어. 거기서도 아끼고 아끼며 저축하고 저축했는데 이미 그거 다 쓰고 빚이 상당하다고 들었어. 대출이 아니라 마이너스 통장. 최근에야 말해주시더라.
지금은 .. 뭐 그래 가끔 내가 방학집중근로하면 아버지보다 더 받앜ㅋㅋㅋㅋㅋㅋ알겠지 대충?
그래서 난 1분위야. 친구? 만나긴 만나. 근데 그 횟수가 제한적일 수 밖에 없지. 많이 만나도 적게 만나도 부모님 입장에선 돈으로 부담스러우실테니 적당히 내가 조절해.
한국장학재단에 너무 감사해. 근장하게 해줘서 고맙고 장학금줘서 고마워. 만약 재단 없었으면 난 학교 못 다녔지.
그래도 난 우리 부모님 자랑스러워. 한 명 대학교 졸업시키고 두 명 대학교 다니고 있는데 우린 불평할 시간에 생산적인 것을 하자고 배웠거든! 돈 주고도 못 배울 가르침이지.
그런데 대부분 나와 비슷할거야. 나보다 경제적 사정이 어려운 아이들도 있을거고. 솔직히 난 우리집이 이렇게 못 사는 줄 몰랐엌ㅋㅋㅋ 너무 철이 없었지. 매점에서 빵먹고 싶다며 매일 천원씩 받아갔던 고등학생 시절이 너무 후회돼. 그거 40주만 학교 나가도 4만원이잖아. 4만원이면 봉추통닭이 2마리인데.
HOT 게시물에 '가난한게 벼슬임'이라는 글을 봤어. 물론 사업하시는 분들 중, 상당수가 불법적인 방법으로 전액장학금을 받고 있다고 알고 있어. 그렇게 말 하고 다니는 아이들도 있고.
나도 ""아 10분위라서 등록금 다 내야돼"" 이런 말 할 수 있었으면 좋겠어. 난 저런 상황이면 저런 말 못하거든. 못 내니까.
그냥 이거 하나만 알아주면 좋겠어. 1분위인 아이들 너무 미워하지 말아줘. 말 하지 않아도 겉으로 티가 안나도 지금 이 순간에도 힘들어하고 있는 아이들이 꽤 많거든.
이런 벼슬은 사양할래. ^^
(삭제)
삭제된 댓글입니다.
(알수없음)
큰아버지 부부도 공무원이신데 똑같은 거 보니까 공무원 공통인가봐
19/07/12 01:00
(알수없음)
진짜 ㄹㅇ 아빠 공무원인데 너무 똑같아서 소름 돋음
19/07/12 01:40",https://everytime.kr/375208/v/82016749,0,1,11,2,10,실패 표현은 있으나 부업성 약함
사기 당함,시사·이슈,"갤럽, 리얼미터 어딜봐도 정권 지지율이 60은 기본으로 찍는데","03/25 10:53
도대체 주작이라는 근거가 뭐임?
여론조사기관들 다 중국에 점령당함?
선거는 그럼 왜 짐? 총선 왜 개 쳐발림?
전국민이 다 중국인인거임?
극우벌레들은 혹시 그런 생각 안해봤어?
아.. 그냥 내가 병신새끼인가?
너만 병신이면 세상 모든 퍼즐이 맞춰지고 모든게 설명되는데?",https://everytime.kr/482730/v/405656637,0,0,7,1,6,실패 표현은 있으나 부업성 약함
사기 당함,광주캠 자유게시판,우울증 환자의 노력기,"02/15 21:43
키작
뚱뚱
문과
흡연
빚
취미x
인간관계x
친구x
모솔
아다
사기당함
정신과 7년차
걍 자살만이 답인 사람인데
어느새
아침 저녁으로 공원을 뛰고 있고
취업하기 위해 공부하고있고
알바도하고 있고
취미로 독서를 하고 있고
옛 친구랑 억지로 연락해서 약속을 잡아 놀기도하고
이성한테 신경쓰려고 옷도 사보고
빚 갚으려고 돈도 저축해
(키는 극복 안됨)
나 칭찬좀 ㅠㅡㅠ",https://everytime.kr/375208/v/400566123,0,0,9,0,9,실패 표현은 있으나 부업성 약함
사기 당함,광주캠 자유게시판,에타에서 음식샀다가,"25/11/14 09:09
안보내는 사기당함;; 금액작아도 신고 당해야겠지?
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375208/v/394098753,0,0,4,0,4,실패 표현은 있으나 부업성 약함
사기 당함,광주캠 자유게시판,당근사기당했는데 왜케 행복하냐,"25/08/27 11:18
사기꾼 헌터임
합의금은 2배가 적당함?
저번에 합의했을 때는 2배 받긴했는데
합의금 어느 정도가 적당한지 경험들 좀 적어주셔요",https://everytime.kr/375208/v/388180782,0,0,7,0,7,실패 표현은 있으나 부업성 약함
